Party,start_date,end_date,in_govt
Fianna Fáil,1937-12-29,1948-02-18,1
Fine Gael,1948-02-18,1951-06-14,1
The Labour Party,1948-02-18,1951-06-14,1
Clann na Poblachta,1948-02-18,1951-06-14,1
Clann na Talmhúain,1948-02-18,1951-06-14,1
National Labour,1948-02-18,1951-06-14,1
Fianna Fáil,1951-06-14,1954-06-02,1
Fine Gael,1954-06-02,1957-03-21,1
The Labour Party,1954-06-02,1957-03-21,1
Clann na Talmhúain,1954-06-02,1957-03-21,1
Fianna Fáil,1957-03-21,1973-03-14,1
Fine Gael,1973-03-14,1977-07-06,1
The Labour Party,1973-03-14,1977-07-06,1
Fianna Fáil,1977-07-06,1981-06-30,1
Fine Gael,1981-06-30,1982-03-09,1
The Labour Party,1981-06-30,1982-03-09,1
Fianna Fáil,1982-03-09,1982-12-14,1
Fine Gael,1982-12-14,1987-03-10,1
The Labour Party,1982-12-14,1987-03-10,1
Fianna Fáil,1987-03-10,1992-02-11,1
Fianna Fáil,1992-02-11,1993-01-12,1
Progressive Democrats,1992-02-11,1993-01-12,1
Fianna Fáil,1993-01-12,1994-12-15,1
The Labour Party,1993-01-12,1994-12-15,1
Fine Gael,1994-12-15,1997-06-26,1
The Labour Party,1994-12-15,1997-06-26,1
Democratic Left,1994-12-15,1997-06-26,1
Fianna Fáil,1997-06-26,2007-06-14,1
Progressive Democrats,1997-06-26,2007-06-14,1
Fianna Fáil,2007-06-14,2008-05-07,1
Green,2007-06-14,2008-05-07,1
Progressive Democrats,2007-06-14,2008-05-07,1
Fianna Fáil,2008-05-07,2011-03-09,1
Green,2008-05-07,2011-03-09,1
Progressive Democrats,2008-05-07,2011-03-09,1
Fine Gael,2011-03-09,2016-05-06,1
The Labour Party,2011-03-09,2016-05-06,1
Fine Gael,2016-05-06,2020-06-27,1
Fianna Fáil,2020-06-27,2022-12-17,1
Fine Gael,2020-06-27,2022-12-17,1
Green,2020-06-27,2022-12-17,1
